Bloque de Numeración,IDO/IDD,"IDO/IDD
Alternativo",Autorización,Empresa,,,
2 22191XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22192XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22193XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22194XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22195XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22196XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22197XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22198XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22199XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22200XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22201XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22202XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22203XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22204XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22205XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22206XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22207XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22208XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22209XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22210XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22211XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22212XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22213XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
2 22214XXX,317,,Servicio Público Telefónico Local,COMPAÑÍA DE TELECOMUNICACIONES DE CHILE S.A.,,,
